A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,class
2.093116376272042,1.5068685476119672,2.3616264260852877,1.2869838059189336,1.2109238933352335,1.6173240661251258,1.1049405684322697,1.5367506830960453,0.9662925443257115,1.4193427150087308,1.4791103436850614,2.093589344903293,1.7999172082502994,1.4241531437336135,1.1833825694667603,1.9680871782327938,1.5060613982405084,2.205275920082909,2.0015192924882523,1.5651149361839178,1.1428862151609338,0.5018894656190174,1.7046466125907214,1.4955552783292665,3.048630334463155,1.764616539920295,1.0147227667526628,0.5884801576007829,1.9292306891767255,1.137673957625099,1.471538199240561,1.7173906209075465,1
1.2364460923506,1.5749060273462023,2.5083866536942327,1.5049516260906075,1.467980589565137,1.8993951052829687,-0.832292183213136,1.4193088589478342,1.0108684486522967,1.4480283920855366,1.4357840245809907,2.3624208437476515,2.9150892690902594,1.7167097613973448,1.1398189877558171,1.9749218253700282,1.5585751666338301,2.4262043806083344,1.5690491985835187,0.5066485782337373,1.138126047789496,3.9548264087759577,1.6053661194547966,0.5785294772357413,1.8255782850924245,1.9888786887047725,1.1305390705902063,1.897231818464515,1.8896399287959607,1.1479523582910982,1.278842866850359,1.441227480121444,1
1.2937479266120735,0.9265211369744127,2.1249748877081003,1.1898536208491226,1.9370487145824948,1.8300524396369646,1.5654666515588498,1.5064580641513976,0.9696846586219664,1.2697360408360716,1.1453841439728831,1.7800758444925324,2.513341264574124,1.3281906199447795,1.4825753900324807,2.2957603142547365,1.469964986777934,1.744743771369179,1.7776717317521222,0.22542290159302758,1.1569750190224535,3.197331381328157,1.4650595586155124,0.862095207209489,0.7773350223258754,1.9356821057478473,1.1479955642252038,0.7250165982679471,2.218639451678451,1.3267109577446192,1.3259418455424565,2.4505447174634405,1
1.0588884583093827,1.743316448019904,1.876186384226812,1.4311531419335788,1.897807421091231,1.504876326114705,2.9267673115512927,1.5838867070481102,2.5614648989114315,1.7339165646759587,1.7873630361588089,0.824880293458004,2.5052224043877795,1.4780435486636807,1.4932888883215867,1.8374181859617784,1.5243465044916389,2.345395978572655,1.32383018747476,1.684133731450836,1.1446807149884204,3.1180250861733416,0.9030488827304686,1.3642538722849982,0.32659410637801267,1.748889191888875,0.8916944282627173,0.06691786166730673,1.849462841538985,1.2934718777216572,2.3832863457866105,1.4128503097519232,1
2.1500365913600863,0.536489376544617,1.8162398922793885,1.2625531453190546,1.8585827987651418,1.0469287278454642,0.9547183947907809,1.209048347726486,0.7932951723816688,1.4209575162136239,2.188243634821289,2.2978269997154923,1.9671988048401823,1.3520689760396145,1.5368579326058283,1.6070885623635724,1.5277849054783463,2.519317189165626,2.0085434494649563,1.5741351182414396,1.1439561581532633,1.714654725705302,2.0598673139969845,0.256690201639619,1.8077194571413568,2.27213502672502,1.0732786662463951,1.590926981173693,1.9658136222430291,1.1496574126929324,0.9204612179780473,2.1598765215362534,1
1.8994731488174392,1.9638186829580129,2.5905412552064457,1.3569274944376464,1.3796826861649418,1.1163417672701128,1.4361415582957973,1.80479607085475,-0.22743015402842004,1.423835717412864,1.6117229081204365,2.73342914812757,1.782190588190186,1.3937628960916024,1.428785763154182,1.7969035901706614,1.5023169284575795,2.2293776823571165,1.9822572758467703,0.7418806300223001,1.1444066993239201,1.2816505988183975,2.2076307187084283,0.024991086982632638,2.2489266626536835,1.6710448452948192,1.7976175474114933,0.9316414037892525,1.8254114119509182,1.3329825665303598,0.07415023914703056,1.4735898783246852,1
3.0322502768022,1.9546548329528384,1.9043329829226001,1.4043600224473114,2.094897750405577,1.7198902486223373,1.406318867587007,1.4374353763603758,1.2266305377939706,1.6377852713894854,1.4066250462860646,1.7731372960958076,1.7356046043084281,1.7325055559804614,1.7495956833441728,1.8159048531132211,1.5131237676207183,1.943710609554776,1.7412472465925817,0.8354814009310304,1.1334752077677228,2.43175230239665,2.1936244893347294,1.561701120206378,0.7267387853278406,2.050398830823023,1.377238139118951,1.8837811024388107,1.5827804400750551,1.2406732040004047,0.279244770815789,0.6887284397410834,1
2.0789399133816695,1.4905501330701765,2.0494132452005553,1.1563419625089126,1.2970356329606547,0.7508813913779243,0.5375766720436902,1.5580053997053187,0.12517979861408968,1.32745527036435,1.8725305499874882,2.2858717773554527,2.5851716665626308,1.1636557923982374,1.1292089442490676,2.03907299236023,1.5817013602655032,1.8905054769571559,1.248628899862244,3.0680353726327843,1.143428461379378,1.2616426358028612,1.525603437600667,0.6386790426389438,1.2157535514003786,1.8353207821288402,1.8473969094041713,2.2855438124329446,1.9356386659459548,1.3120742870004949,1.0680564796286331,1.525096180720574,1
2.4002415694636214,1.3913951350767764,1.844646228214934,1.3708249788281242,0.9617590962380744,2.5805888627647766,-0.6673501334020555,1.5464610493765116,2.1768042266977075,1.4891479094646904,0.29303342532622745,2.1675751972894894,1.641569818849497,1.3882740425219235,1.9174883004722325,1.7594570630712985,1.4813903265670103,2.041551462760511,2.184019416761524,0.9120742418576917,1.1502985061935438,1.8703030956304494,1.6776988637902093,1.6513406067467926,0.025966104876747442,1.9579594150986943,1.2716883696818193,0.005855654369252283,1.6543060476950018,1.0248208205756533,0.5728806190787642,1.5743494422374797,1
0.37041233438201093,1.3163454292562191,1.9534587142541031,1.4405327275268398,0.8913315839540229,1.0659004240186025,1.7987929175741941,0.6612894737958099,2.6742667514170466,1.6363690486000426,0.631224263419343,1.561989106011842,2.126098319619595,1.4496255066519579,1.8702135405261562,1.69762866346462,1.5680669998270846,2.4167743030926907,1.6535682244325864,2.9573532359383146,1.147357509410795,1.8828683245179587,2.1866748139311136,2.153015296264097,0.6198133176953936,1.6352529344848588,1.284203009716888,1.098716053014155,1.9376429759381264,1.2016451220811382,1.0762216775847375,1.279136507276595,1
